review_id,asin,overall,title,description,reviewText,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5
27075,B00FGPY9CE,5.0,Coleman 2-Person Pop-Up Tent,"Great for festivals and car camping, the Coleman 2-Person Pop-Up Tent sets up in as little as 10 seconds, letting you get back to the fun. This camping tent is uniquely designed with preassembled poles, allowing the tent to pop into place in a snap. The taped floor seams keep you dry even when the ground is soaking wet, while the multi-position rainfly allows you to find the perfect balance of protection and ventilation. This instant tent offers room for two camp pads and comes with two integrated storage pockets to help you keep small items organized. This 2-person tent folds flat for simple storage and is lightweight for easy portability.",Bought this for my daughter. It was an excellent choice. Taking it down took a few tries but she has now mastered it.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,,
3988,B0009PUTCU,1.0,Coleman 12-In. Steel Tent Stakes,You'll sleep soundly knowing your tent is secured with Coleman 12-In. Steel Tent Stakes. These heavy-duty stakes are specially-designed to break through some of the toughest ground.,These are junk. They tore up my rubber mallet when hammering them in. They also bent when trying to hammer them into the Black Rock City Playa. They never came out under decent wind but they bent so bad during removal that I had to throw them all away after the first and only use :(,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
5908,B0009PUQVY,2.0,Coleman Folding Double Wash Basin,,This would be good for backpack camping but not sturdy enough for car camping. Found the unit flimsy and it tipped over on my daughter while she was washing. Spilled right down her legs. It's hard enough to get a 13  year old to wash dishes without having to worry about this. I washed a sharp knife and had to be too careful not to poke the vinyl.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,
26295,B00F3S5QJE,2.0,Coleman Propane Grill | RoadTrip LXE Portable Gas Grill,"Stop manhandling those heavy, bulky backyard beasts and show off as the grill master with the Coleman RoadTrip LXE Propane Grill. It's easy to tote around and set up. Just fold it up, roll it with one hand to your favorite cooking spot and set it up in a matter of seconds with the lift and lock system. The grill comes equipped with durable cast-iron grilling surfaces. (Coleman RoadTrip pot support and griddles are available separately.) When you're ready to grill, push a button to ignite the InstaStart matchless lighting system. Cook for more than an hour on one propane cylinder with 20,000 BTUs of power on 285 sq. in. (1838.7 sq. cm) of cooking surface. It's perfect for BBQs, picnics, tailgating, camping or a night on the patio. When you're ready to leave, it folds down small enough to fit in the back of most car trunks.","It's a decent enough grill.  Really lacks any control over flame.  High might as well be ""Volcano"" and low might as well be ""Afterburner""

That's fine.. my first cook on it went ok, once I got a feel for it, the second was better.

What kills me is the migraine inducing rattle when the thing is in a car being moved.  The grill plates rattle, the wheels rattle, the lid rattles..Fine..  I remove the plates, bungee the lid down, and tape the wheels in place.

Then the hinge hardware rattles too.  And it's all tightened down.  Sigh.  Call Coleman, it's normal for it to do that.

So, it's in the box.. Waiting for UPS to pick it up.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills
26832,B00FF3AK48,2.0,Coleman QuickBed Elite Extra High Airbed &ndash; Queen,"Featuring an extra-tall design for added cushioning, the Coleman QuickBed Elite Extra High Airbed provides a comfortable nights sleep wherever you are. Designed for both indoor and outdoor use, this inflatable mattress has an integrated 4D pump for easily inflating the bed at home or on the go (batteries sold separately). The soft plush top offers a velvet-like sleeping surface, while the ComfortStrong coil construction provides better support and superior comfort, so you wake up feeling rested. Factory tested to be leak-free, the air bed features an AirTight system and Double Lock valve that help keep the mattress at the perfect firmness level. This queen air mattress supports up to 600 pounds and fits standard queen size sheets. It comes with a carry bag for easy storage and portability.","Born a 'belly' in the middle of my bed. I do not recommend.

I bought mine at Target.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Air Mattresses
20786,B004J2GUP4,1.0,Coleman Dome Tent for Camping | Sundome Tent with Easy Setup,"The Coleman Sundome 6, 10'x10', dome tent is part of the classic Sundome series of tents from Coleman. The Sundome 6 sleeps 6 happy campers and includes a large door for easy entry/exit with a hooded fly to provide ventilation even in rain. A large rear hooded window also provides airflow for cross ventilation. Mesh vents on the roof provide additional ventilation and the rugged 1000D polyethylene floor is a bathtub style (wraps up the sides) for extreme weather protection and has welded seams, even in the corners, to guard against a leaky floor. The coated polyester fabrics on the fly and walls are rugged and durable. Like all Coleman Sundome tents it is easy to set up or take down and features an Electrical Access Port, a ground vent and an interior mesh storage pocket.Freestanding design is easy to set up and take down.2 windows and roof vents for maximum ventilation and comfort.Mesh roof aids in ventilation and reduces condensation.Shockcorded fiberglass frame for easy set up.Polyester fly is tough and durable and won't stretch when wet.1 zippered Electrical Access Port to run AC power into the tent.1 vented Cool Air Port for increased ventilation and comfort.1 interior storage pocket.Easy convenient clip and continuous pole sleeve construction.Pin and ring pole to body connection is fast and simple.External guy points to keep the tent stable in storms and high winds.Instructions sewn to carry bag so they are easy to find and hard to lose.All carry sacks and stakes included.Includes convenient flashlight loop on the ceiling.Fire retardant.Import.","Experienced camper. Bought the tent for casual car camping in temperate weather. Set it up last night.  There was some wind.  Nothing epic.  Nothing that isn't within the norm of ""peak winds for any given week.""  Not part of a storm system.  Within 2 hours one of the rings that anchors the tent floor to the poles and the ground had pulled out of the tent.  Had to spend the night in the back seat of the car.  When I awoke in the morning, all four rings had pulled out.  The pegs (with the rings still in them) were still attached to the ground, but my tent was stuck in a bush 20' away.  This wasn't an old/abused tent.  This was a tent I literally pulled out of the box to set it up.  What a complete waste of money.  The tent was so far away from actually performing that I cannot believe this was just one that slipped through the QA cracks.  This was simply cheap crap.  ...And the last Coleman tent I will ever buy.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents
12965,B00168QWV6,3.0,Coleman 8D Square Pack-Away Full Size Lantern,"Designed for convenience, the Coleman 8D Pack-Away Family Size Lantern features a clever telescoping design. Packed up, the lantern creates a built-in carry case for compact and easy storage and transport. Simply pull up the top to unpack the lantern to its full size (12"" tall). The lantern's 15-watt fluorescent spiral U-tube provides an extra-bright, white light, with a reflector that directs light upward and outward for more efficient illumination -- it sheds an impressive 390 lumens of light on High. The light automatically turns off when the lantern is closed, to conserve your batteries. The lantern's bail handle is convenient for comfortable carrying or for hanging. The 8D Pack-Away Lantern runs for up to 24 hours on low or 12 hours on high, with a single set of eight D batteries (sold separately). The bulb and battery are easy to access and replace. Includes a limited 5-year warranty. Lantern measures approximately 12.13"" x 6.81"" x 6.57"" extended, and weighs 2.58 pounds without batteries.","This little portable is a neat design and stores away well when traveling.  I didn't give it a higher rating because there are other lights that require 8 batteries that give off more light and cost less.  Of course, they are LED not fluorescent, which is becoming pass.  This is a very good lighting unit but it has been surpassed with more light emitting LED models.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns
8749,B000J032CE,5.0,Coleman Lantern Carry Case,"Protect your lantern with the Coleman Lantern Carry Case so it'll be ready to go the next time you head outdoors. This tough case helps protect against dents, scratches and broken globes. The base has room for extra mantles and miscellaneous other items. The case latch locks securely and is positioned at the top for easy loading and unloading. Simply let your lantern cool, place it on the base and place the lid on top and lock it, and you're ready to head on to your next adventure.",Exactly as described. Fit my 40 year old lantern like a glove. Can finally get rid of the original cardboard box.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns
23079,B006J3EFM6,5.0,Coleman Trekking Pole,"Walk in comfort on your next hike with a Coleman Trekking Pole. Use it when you need it and put it in your backpack when you don't. Its easy-carry, easy-store aluminum design easily extends from 27 to 53 in., and the contoured cork handle with adjustable nylon strap makes it the perfect walking companion. With interchangeable tips, it will get you through any terrain.",Great quality for the price.  Has already see its way through the hiking trails of a few state parks; no complaints here.  Would definitely buy again.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Trekking Poles,
8243,B000G64FJK,1.0,"Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Blue","Food, drinksand the funlast longer, when you roll in with the Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels. To be exact, this cooler keeps ice up to 5 days at temps as high as 90F thanks to an insulated lid and extra insulation in the walls. Large enough to hold 160 cans, this spacious cooler transports and chills enough food and drinks so the entire party remains fueled and refreshed for the duration of your adventures. Wherever youre headedcampgrounds, tailgate parking lot, or across a ball fieldthe heavy-duty wheels and large tow handle let you roll over almost any terrain with little effort. The additional 2-way side handles make it easier to lift your cooler in and out of the car or onto a picnic bench. Once you arrive, the Have-A-Seat lid ensures you have a place to sit and relax, and the cup holders molded into the lid keep your drink close and prevent spills. When the fun is done, the leak-resistant channel drain lets you empty any excess water without tilting the cooler, so youre ready for your next fun adventure in no time. Carry up to 160 cans with ease--and store ice for up to five days even when it's 90 degrees outside--in the Xtreme 5 100-Quart Wheeled Cooler by Coleman. With two large wheels, two-way handles and a comfortable tow handle for one-hand operation, this cooler is easy to roll even on rough terrain. After the party, it's easy to drain thanks to a rustproof, leak-resistant channel drain for no-tilt draining. <b>Features:</b><br> <ul> <li>Keeps ice up to 5 days at 90 degrees Fahrenheit <li>Holds 160 cans <li>Hinged lid with beverage holders <li>Two-way handles for flexible easy carrying <li>Comfortable tow handle for one-hand operation <li>Rustproof, leak-resistant channel drain for no-tilt easy draining <li>Two large wheels for easy pulling, even on rough terrain <li>Made with Thermozone insulation that contains no toxic CFCs, HFCs, or HCFCs </ul> <b>Specifications:</b><br> <ul> <li>Exterior Dimensions: 36.5 by 16.75 by 18.25 inches <li>Interior Dimensions: 23.75 by 11.75 by 13 inches <li>Weight Empty: 18 pounds <li>Made in the USA </ul> <b>About Coleman</b><br> More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark. In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come.","First new cooler leaked from the drain spout.  Second replacement cooler - leaked from the drain spout.  The first one leaked around the gasket.  The second one leaked around the cap - which is not tight enough or fitted properly. Two new ones, both defective - you decide if you want to buy this product",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
