review_id,asin,overall,title,description,reviewText,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5
3014,B0009PUR5E,5.0,"Coleman Bottle Top Propane Stove,Green,6.62&quot; H x 7.81&quot; W x 7.75&quot; L","Need a lightweight outdoor stove for backpacking, hunting, or camping? Look no further than the Coleman Portable Bottle-Top Propane Stove, which fits up to an 8-inch pan above a fully adjustable burner for precise temperature control and up to 10,000 BTUs of cooking power. Brew coffee, heat up hot dogs, and so on, knowing you can enjoy up to 2.5 hours of cooking on just one 16.4 oz. propane cylinder (sold separately). PerfectFlow technology keeps that heat steady, even in extreme conditions, and a large base offers stability for easy stirring. When its time to break down the campsite and fit all your gear into a crowded pack, youll be relieved to know that the burner and base separate from the propane cylinder for truly compact packing. Rest assured your ultra-portable stove comes with a 3-year limited warranty. The Coleman 5431A700 One-burner Propane Stove is an easy-to-use portable stove that should meet almost any camp cooking need. The PerfectFlow regulator provides consistent cooking performance by producing a steady fuel stream, even in cold weather, high altitudes, or when fuel is low. Equipped with one 10,000 BTU burner, this fully adjustable stove will last for 2.2 hours on high or up to nine hours on low. The pot supports help shield your cooking flame from the wind, while the large eight-inch burner bowl should fit most any pot. This Coleman one-burner stove can boil a quart of water in just four minutes! This stove operates on one 16.4-ounce cylinder of Coleman propane (not included). <strong>Manufacturer Warranty</strong><br> Limited lifetime warranty",I was looking for a compact burner for my disaster prep locker. Looks like I found a winner.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills
17260,B00339C3P0,3.0,Coleman Portable Camping Quad Chair with 4-Can Cooler,"Have a cold drink at hand at the campsite, BBQ or picnic with a Coleman Cooler Quad Chair. The cooler built into the armrest holds up to 4 cans and provides easy access to a cold drink once the one in your mesh cup holder is empty. While you sip on your favorite beverage, the fully cushioned seat and back only adds to your relaxation. If you want your hands free, the side pockets work nicely to store your book, magazine or some snacks. When the fun is done, the chair easily folds up into a carry bag for easy transport and storage.",Quality chair slightly overpriced,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Chairs
22951,B006HFA1YC,3.0,Coleman 9-Can Soft Cooler with Removable Liner,"Keep food and drinks cold with the Coleman Soft Cooler. This compact, portable cooler bag holds up to nine cans and offers plenty of space for a family picnic or game-day snacks. Heat-welded seams in the zippered main compartment prevent leaks and maintain a cold environment, while the removable hard plastic liner fits snugly inside the soft cooler and allows you to easily dump out any ice melt. When not using the hard plastic liner, you can use ice substitutes to keep contents cold and dry. The cooler bag's easy-clean interior has an antimicrobial lining to resist formation of mold, mildew, fungus, and odor. A zippered front pocket, pocket under the lid, and two side mesh pockets make it easy to carry water bottles, snacks, silverware, and other accessories. You can also secure items to the top with the convenient bungee cords built into the lid. An adjustable shoulder strap lets you comfortably carry the cooler anywhere you go.","It's a good cooler, its a very good cooler for $13 bucks for sure. I gave it three stars because:

It leaks horribly through the zipper. I mean it's like the top doesn't even exist. would work better if you used some of the blue ice packs from Rubbermaid rather than ice.

The shoulder strap is well I don't know. but it made me so mad adjusting it and the fact that it doesn't unclip I just cut it off.

This cooler will definitely not work well in ATV racks (I did not deduct any stars for that that is something more than I would have expected but just noting it on here.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
28197,B00J0S0A4E,5.0,Coleman All Day Dome Shelter 1539;x1539; Canopy,"Provide a comfortable retreat from dawn to dusk with the Coleman 15 x 15 ft. All Day Dome Shelter. In just 15 minutes you can start enjoying the 218 sq. ft. of shade this shelter provides. It's unique, super-stable dome shape protects from the low-angle sun in the early morning and late evening. During the day, the UVGuard material offers our best protection from the sun. The vented roof provides better ventilation, making this a great choice for large parties and family reunions.","worked better than expected & really not to difficult to set up the 1st time.  I would buy it again, that my scale of praise/hate",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Camping Shelters
15303,B001O3F5Y8,5.0,Coleman Twin High Performance LED Lantern,"Light the night your way with the Coleman high performance 580L twin LED lantern. At up to 580 lumens, this lantern lets you see far and wide while four LEDs, which never need to be replaced, provide effective, efficient, energy-saving light. The rotating dial offers customizable light settings from low to high. Long runtimes - 150 hours on low and 18 hours on high - will have you back home before you need fresh batteries. Its weather-resistant construction delivers reliable output, even in wet and windy conditions, and its base unscrews for quick access to the battery chamber so you can change them virtually anywhere, anytime.","Accomplishes whats is promised. Great for camping, outdoor barbacues, blackouts, and overall for a great spring fishing night by the river.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns
26490,B00F3S5QJE,2.0,Coleman Propane Grill | RoadTrip LXE Portable Gas Grill,"Stop manhandling those heavy, bulky backyard beasts and show off as the grill master with the Coleman RoadTrip LXE Propane Grill. It's easy to tote around and set up. Just fold it up, roll it with one hand to your favorite cooking spot and set it up in a matter of seconds with the lift and lock system. The grill comes equipped with durable cast-iron grilling surfaces. (Coleman RoadTrip pot support and griddles are available separately.) When you're ready to grill, push a button to ignite the InstaStart matchless lighting system. Cook for more than an hour on one propane cylinder with 20,000 BTUs of power on 285 sq. in. (1838.7 sq. cm) of cooking surface. It's perfect for BBQs, picnics, tailgating, camping or a night on the patio. When you're ready to leave, it folds down small enough to fit in the back of most car trunks.",got one season out of it then began to fall apart . Awkward to fold up and store,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills
4742,B0009PUQ8M,2.0,Coleman Tent Kit,"Set up the tent quickly with the steel tent pegs and rubber mallet. Keep it clean for the entire campout with the nesting hand broom and dustpan. When the fun is done, use the tent stake puller to get the pegs out of the ground easily. All four of these important tools fit nicely inside the mesh carry bag for the next adventure.","Nice idea, but the items are ""child size"" for a ""child's tent"" in the back yard , nothing beyond that----",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
1180,B0009PUR0E,5.0,Coleman Egg Container (12 Count),Egg Container - 12 Count,great item if you like to make eggs when you camp.  Very light weight and can store small stuff after all the eggs are gone.  strong and lightweight.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,
8311,B000G64FJK,5.0,"Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Blue","Food, drinksand the funlast longer, when you roll in with the Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels. To be exact, this cooler keeps ice up to 5 days at temps as high as 90F thanks to an insulated lid and extra insulation in the walls. Large enough to hold 160 cans, this spacious cooler transports and chills enough food and drinks so the entire party remains fueled and refreshed for the duration of your adventures. Wherever youre headedcampgrounds, tailgate parking lot, or across a ball fieldthe heavy-duty wheels and large tow handle let you roll over almost any terrain with little effort. The additional 2-way side handles make it easier to lift your cooler in and out of the car or onto a picnic bench. Once you arrive, the Have-A-Seat lid ensures you have a place to sit and relax, and the cup holders molded into the lid keep your drink close and prevent spills. When the fun is done, the leak-resistant channel drain lets you empty any excess water without tilting the cooler, so youre ready for your next fun adventure in no time. Carry up to 160 cans with ease--and store ice for up to five days even when it's 90 degrees outside--in the Xtreme 5 100-Quart Wheeled Cooler by Coleman. With two large wheels, two-way handles and a comfortable tow handle for one-hand operation, this cooler is easy to roll even on rough terrain. After the party, it's easy to drain thanks to a rustproof, leak-resistant channel drain for no-tilt draining. <b>Features:</b><br> <ul> <li>Keeps ice up to 5 days at 90 degrees Fahrenheit <li>Holds 160 cans <li>Hinged lid with beverage holders <li>Two-way handles for flexible easy carrying <li>Comfortable tow handle for one-hand operation <li>Rustproof, leak-resistant channel drain for no-tilt easy draining <li>Two large wheels for easy pulling, even on rough terrain <li>Made with Thermozone insulation that contains no toxic CFCs, HFCs, or HCFCs </ul> <b>Specifications:</b><br> <ul> <li>Exterior Dimensions: 36.5 by 16.75 by 18.25 inches <li>Interior Dimensions: 23.75 by 11.75 by 13 inches <li>Weight Empty: 18 pounds <li>Made in the USA </ul> <b>About Coleman</b><br> More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark. In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come.",Best deal for a Coleman ever.  Love it.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
29542,B019N9WTRU,2.0,Coleman Camping Instant Signal Mountain Tent,,"I was not impressed with this tent or the incredibly vague instructions.

I thought I could surely set it up by myself, but apparently not.  I struggled for quite some time.  I finally got one pole extended, and when I moved on to the next one, the fiberglass pole snapped.

I called customer service to see if they would help and they asked for a photo of the receipt.  I emailed it to them, but they said they didn't get the photo and can't help me until I get them a receipt or a picture of the date code. I checked and the photo of the receipt was definitely attached.  I will update once I get this settled.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents
