review_id,asin,overall,title,description,reviewText,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5
5578,B0009PUT20,2.0,Coleman 5-Gallon Solar Shower,"Don't miss a shower  even when you're camping  with the Coleman 5-Gallon Solar Shower. The reservoir holds up to 5 gallons of waterenough for multiple showers. It's constructed of heat-locking material that warms the water when it's left in the sun, even on cool days. The shower features a strong handle for reliable hanging and carrying as well as a handy on/off shower head valve to conserve water.","It's inexpensive.....and cheap.  Works OK if (a big IF) you don't mind that the plug isn't tight, so almost anything you do with it will cause water to come out of it.  Other solar powered bags have plugs that screw on, which makes the unit much more leak-proof.

Bought one.  Will go back to others.  They cost a bit more, but are not as messy.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Personal Care,Showers
4236,B0009PUQ8M,5.0,Coleman Tent Kit,"Set up the tent quickly with the steel tent pegs and rubber mallet. Keep it clean for the entire campout with the nesting hand broom and dustpan. When the fun is done, use the tent stake puller to get the pegs out of the ground easily. All four of these important tools fit nicely inside the mesh carry bag for the next adventure.",Nice for clean up.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
16354,B002BM70YO,3.0,Coleman 48 Can Party Stacker Cooler,"With the Coleman Party Stacker-Inchs unique stackable, color-coded design, you-Inchll want more than one for parties, tailgating, BBQs and more. The Party Stacker features a clever interlocking base and lid, so you can stack multiple coolers with no slipping or sliding -- great for easy transporting and tidy storage. The Party Stackers come in four great colors, so you can separate drinks or dishes by cooler color. The 33-Quart Party Stacker accommodates two cases of twelve-ounce cans or one case of bottles or longnecks plus ice -- and it-Inchs wide enough for a 9-Inchx13-Inch casserole dish. The Party Stacker features tough molded handles for comfortable lifting and carrying, with a sleek, low-profile design for stability. Exterior measures 22-InchL x 13.5-InchW x 11.75-InchH. Made in the USA.",The lid isn't great and doesn't seem to stay cool that long.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
1731,B0009PUQM8,2.0,Coleman Stratus Adult Fleece Sleeping Bag Liner,"The Coleman Stratus Adult Fleece Sleeping Bag Liner doubles as both a warm, cozy liner and a low-profile sleeping bag. On its own, the liner can keep you warm in temperatures as low as 50 degrees Fahrenheit. When placed inside another sleeping bag, it can provide 12 degrees Fahrenheit of extra thermal protection. This low-profile sleeping bag liner features a two-way patented ZipPlow zipper system that plows fabric away from the zipper to prevent snags and frustration. It also features an elastic storage strap and stuff sack for easy packing and transport. The Stratus Fleece Sleeping Bag Liner can accommodate most people up to 5 feet 11 inches in height. It is machine washable for easy cleaning. The Coleman 8197C410 Stratus Fleece Sleeping Bag Liner is the perfect accompaniment to any sleeping bag, especially when you are camping where you are not sure how cold it is going to be. This sleeping-bag liner is full-size, measuring 33-inches by 75-inches, and fits most full-size sleeping bags up to 5-feet 11-inches long. When used with a sleeping bag, this liner adds 12 degrees of thermal protection, making a 35-degree sleeping bag usable at temperatures as low as 23 degrees! The Coleman fleece sleeping-bag liner is commercial-machine-washable only and comes with its own stuff sack. <strong>Manufacturer Warranty</strong><br> Five-year warranty","The zipper is a problem. The dual zipper system is apparently not intuitive. Twice I have had people using the bag end up with the zipper jammed and broken.  I like the bag, it is perfect for warm climate camping here in Florida, but I need somethning that does not require instructions to use.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Bag Accessories
15149,B001K7IDVU,3.0,Coleman Camping Coffee Maker,"Easily make drip-brewed coffee while enjoying the outdoors with the Coleman Camping Coffee Maker. Designed with a steel base that fits over most 2- and 3-burner camp stoves, this camping coffee maker features a large reservoir that enables you to brew up to 10 cups of hot coffee at once. Making coffee with this outdoor coffee maker is easy. Simply spoon grounds into the removable swing-out filter basket, fill the reservoir with water, and place the coffee maker over your stove burner. Within minutes, the 10-cup glass carafe will be filled with freshly brewed coffee ready to be enjoyed in the great outdoors. A Pause 'N Serve feature lets you grab a cup before the brew cycle is finished. The Coleman Camping Coffee Maker measures 8.5 x 11 x 14 inches. About Coleman More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark. In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come. END",Filter basket would not stay shut got a replacement and it had the same problem also the stop dripping function did not work on both I have one that works good  that I have used for a few years now so that is why 3 stars,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,
8247,B000G64FJK,5.0,"Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Blue","Food, drinksand the funlast longer, when you roll in with the Coleman 100-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels. To be exact, this cooler keeps ice up to 5 days at temps as high as 90F thanks to an insulated lid and extra insulation in the walls. Large enough to hold 160 cans, this spacious cooler transports and chills enough food and drinks so the entire party remains fueled and refreshed for the duration of your adventures. Wherever youre headedcampgrounds, tailgate parking lot, or across a ball fieldthe heavy-duty wheels and large tow handle let you roll over almost any terrain with little effort. The additional 2-way side handles make it easier to lift your cooler in and out of the car or onto a picnic bench. Once you arrive, the Have-A-Seat lid ensures you have a place to sit and relax, and the cup holders molded into the lid keep your drink close and prevent spills. When the fun is done, the leak-resistant channel drain lets you empty any excess water without tilting the cooler, so youre ready for your next fun adventure in no time. Carry up to 160 cans with ease--and store ice for up to five days even when it's 90 degrees outside--in the Xtreme 5 100-Quart Wheeled Cooler by Coleman. With two large wheels, two-way handles and a comfortable tow handle for one-hand operation, this cooler is easy to roll even on rough terrain. After the party, it's easy to drain thanks to a rustproof, leak-resistant channel drain for no-tilt draining. <b>Features:</b><br> <ul> <li>Keeps ice up to 5 days at 90 degrees Fahrenheit <li>Holds 160 cans <li>Hinged lid with beverage holders <li>Two-way handles for flexible easy carrying <li>Comfortable tow handle for one-hand operation <li>Rustproof, leak-resistant channel drain for no-tilt easy draining <li>Two large wheels for easy pulling, even on rough terrain <li>Made with Thermozone insulation that contains no toxic CFCs, HFCs, or HCFCs </ul> <b>Specifications:</b><br> <ul> <li>Exterior Dimensions: 36.5 by 16.75 by 18.25 inches <li>Interior Dimensions: 23.75 by 11.75 by 13 inches <li>Weight Empty: 18 pounds <li>Made in the USA </ul> <b>About Coleman</b><br> More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark. In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come.","Perfect size for a large gathering and kept everything cold for hours, even in the heat. The handle and wheel feature makes it much easier to handle when full.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
17661,B00363WZSS,5.0,Coleman Pack-Away Deluxe Portable Kitchen,"Bring a cooking station with full features to your next outdoor gathering with the Coleman Pack-Away Deluxe Portable Kitchen. Equipped with a 39.4 x 19.7-inch food prep area, this portable camp kitchen offers ample space for slicing meats and chopping vegetables. A removable sink easily slots into the prep area for easy cleaning. The side stand accommodates most Coleman stoves and coolers, while hanging hooks, a paper-towel holder, and wire shelves offer additional storage space for plates, utensils, and ingredients. To facilitate late-night cooking, a lantern hook provides a convenient place to hang a light. Setting up this portable kitchen is easy: Simply expand the aluminum frame, snap on the surfaces, and make sure the kitchen's footing is steady. When it's time to pack up, the kitchen folds up and easily fits into a single, self-contained case for easy carrying and storage. With its lightweight aluminum frame and sturdy construction, this folding camp kitchen is built to withstand years of rugged use. Outdoor cooking is a ton of fun, but it's not always easy to prep your meal on coolers, picnic tables, and car tailgates. Enter the Coleman deluxe Camp Kitchen, a complete outdoor food preparation center that fits inside a compact carrying case. <table align=""right"" cellpadding=""10"" width=""275""> <tbody><tr><td><img align=""top"" border=""0"" height=""275"" src=""https://images-na.ssl-images-amazon.com/images/G/01/stores/sport-goods/detail-pages/B00363WZSS-1.jpg"" width=""275"" /><br /><br /><small><em><strong>The Camp Kitchen includes a removable dish tub for post-meal cleanup.</strong></em></small></td></tr></tbody></table> The Camp Kitchen is outfitted with a rust-resistant aluminum frame made using heavy-duty channel-extruded aluminum for added strength. More important than the construction, however, is the functionality. The kitchen's main body includes a moisture-resistant MDF tabletop food prep area with plenty of space for chopping onions and shaping hamburger patties. To the side is a wire-grid extender shelf that easily holds most Coleman and other brands of camping stoves at countertop level. No more cooking on the ground or an unstable stump. It's the extras that really make the Camp Kitchen go. The unit offers a handy bottom shelf for storing items like pots, dishware, and bread, along with chrome-plated wire hooks and a spice rack/shelves along the back for mugs, spatulas, and condiments. The Camp Kitchen even includes a removable tub for washing your dishes and a produce bin. And when you're ready to head home, the Camp Kitchen folds up into an easy-to-carry suitcase-style frame that fits easily in most car trunks. Other details include stable leg braces for added support, plastic guards to protect the corners, a lantern hook, a paper-towel holder, and a hand-towel holder. The Camp Kitchen measures 74.5 by 64 by 20 inches (W x H x D) when open and 39.5 by 7 by 20 inches when closed and weighs 24.2 pounds. <b>About Coleman</b><br> More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark. In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come.","This works awesome. Its easy to tear down and assemble. No tools required. Only drawback is its a little on the heavy side. But if u want the support and durability, I guess its expected. I would definitely recommend to purchase for your camping adventures.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,
6309,B0009PUTDE,4.0,Coleman Folding Shovel,"Dig a fire pit and cut small branches at the campsite with a Coleman Folding Shovel. This compact tool is made of durable steel with a serrated edge for sawing. It measures 10 in. (25.4 cm) when it's folded and fits inside a backpack. When you're ready to use it, the shovel folds out to 23 in. (58.42 cm) and easily locks into place for safety. During the winter, keep the shovel in your trunk to clear snow and ice in an emergency.",For ten dollars these are a good camp shovel.  Strong construction and take a good bit of abuse.  For the price I can't really think of anything negative about these tools.  Recommend.,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Knives & Tools,Shovels
30510,B0014VSR90,4.0,Coleman 40-Quart PowerChill Hot/Cold Thermoelectric Cooler,"You choose: keep your food warm OR cool, and never need ice or a freezer pack, with the Coleman 40-Quart PowerChill Hot/Cold Cooler. The PowerChill uses electricity to keep your food at the right temperature. On Cool mode, it cools down to forty degrees below the surrounding temperature; on Warm, it heats to 110-140 degrees above the surrounding temperature. Just plug it into your car's 12-volt outlet, or purchase the 110-volt AC adapter (sold separately) for use in the home. The PowerChill 40 Quart can hold 44 cans, plus snacks. The interior tray helps keep everything organized, and you can use the PowerChill upright, cabinet-style, or horizontally, chest-style. The door can be converted to open from the left or the right, so it'll work well in your available space. 1-year limited warranty.","It actually just came in today. I have it connected to a 10 amp power supply that came with a 12v receptacle. So far it's dropping its internal temp 10 degrees per hour.
Note 1: It arrived in perfect shape, and appears to be very well built and finished. I particularly like this line in the Manual:
  ""This cooler will not chill foods and beverages as fast as your home refrigerator. Please don't expect it to do so.""
Note 2:  It does NOT come with an AC adapter of any kind, contrary to some of the reviews on Amazon. However, the Manual tells how to order
  one.
Note 3:  I had an earlier version of this cooler for 5 or 10 years, and might have killed it by putting ice and icy foods in it.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
26132,B00F3S5QJE,5.0,Coleman Propane Grill | RoadTrip LXE Portable Gas Grill,"Stop manhandling those heavy, bulky backyard beasts and show off as the grill master with the Coleman RoadTrip LXE Propane Grill. It's easy to tote around and set up. Just fold it up, roll it with one hand to your favorite cooking spot and set it up in a matter of seconds with the lift and lock system. The grill comes equipped with durable cast-iron grilling surfaces. (Coleman RoadTrip pot support and griddles are available separately.) When you're ready to grill, push a button to ignite the InstaStart matchless lighting system. Cook for more than an hour on one propane cylinder with 20,000 BTUs of power on 285 sq. in. (1838.7 sq. cm) of cooking surface. It's perfect for BBQs, picnics, tailgating, camping or a night on the patio. When you're ready to leave, it folds down small enough to fit in the back of most car trunks.","Great product, works well.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills
