review_id,asin,overall,title,description,reviewText,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5
18756,B0043AK0O4,5.0,Coleman Pack-Away Camping Cot,"Bring along a perfect relaxation spot on your next camping trip with the Coleman Pack-Away Camping Cot. Ideal for sitting, reclining, and sleeping, this versatile camping cot features an extra-wide design that provides ample resting room. It also comes equipped with a convenient removable side table with a cup holder, where you can easily keep drinks, magazines, and other personal items. The steel frame can support up to 300 pounds and is built to withstand season after season of rugged use. Thanks to its folding, portable design and included carry bag, this camping cot fits inside most car trunks and is easy to transport. The Coleman Pack-Away Camping Cot accommodates most people up to 6 feet 6 inches tall.",These are awesome. We use them every year for the past two years and still hold up. Much better than an air mattress when camping or sleeping out,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Cots & Hammocks
4944,B0009PUQ8M,4.0,Coleman Tent Kit,"Set up the tent quickly with the steel tent pegs and rubber mallet. Keep it clean for the entire campout with the nesting hand broom and dustpan. When the fun is done, use the tent stake puller to get the pegs out of the ground easily. All four of these important tools fit nicely inside the mesh carry bag for the next adventure.","I love the stakes, the stake remover and the bag. I wish the mallet was a little smaller though, it unnecessarily weighs down my pack.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
2037,B0009PUR4A,4.0,"Coleman 2000016402 Mess Kit, Aluminum, 5-Pc.","5 Piece, Aluminum Mess Kit, Includes 8 OZ Cup, 7&quot; Fry Pan, 16 OZ Pot With Lid &amp; 6.5&quot; Dish Pan, Pieces Nest Inside Each Other &amp; Is Covered With A Lid For Easy Storage &amp; Transport.","Price is good, but really really thin metal.  I haven't used yet but I'm afraid a hot campfire would burn through this, I could be wrong though.  For the price however you get what you pay for.",,,,,
28219,B00J0RZQJ4,5.0,"Coleman Coastal Xtreme Series Marine Portable Cooler, 120 Quart","Keep your food and drinks cold for the full length of your next boating excursion with the Coleman 120-Quart Coastal Xtreme 6-Day Marine Cooler. Specially designed for boating and fishing, this portable cooler combines a generous capacity with a rugged design that stands up to tough saltwater conditions. Large enough to store up to 204 cans, the cooler offers plenty of room for beverages, food, and any catch you might haul on board. The insulated lid and walls offer up to 6 days of ice retention, helping ensure your catch stays fresh even during multiday voyages. Built to withstand years of rugged marine use, this heavy-duty cooler comes equipped with rust-resistant stainless steel hardware and UV Guard sun protection that resists yellowing and cracking. A threaded drain with an easy-to-clean valve allows you to empty excess water without tilting the cooler. The smooth EZ-Clean lid easily wipes clean of grime and dirt, while the Have-A-Seat lid offers a comfortable place to sit and relax. And thanks to its comfortable no-crush handle grips, this fishing cooler is easy to transport, whether you're bringing whole meals on a boating trip or heading to your favorite fishing spot.",Keeps things really cool,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
3946,B0009PUQ8M,2.0,Coleman Tent Kit,"Set up the tent quickly with the steel tent pegs and rubber mallet. Keep it clean for the entire campout with the nesting hand broom and dustpan. When the fun is done, use the tent stake puller to get the pegs out of the ground easily. All four of these important tools fit nicely inside the mesh carry bag for the next adventure.","Greetings fellow amazonians, I picked this up to go in my bug out bag for the impending zombie apocalypse. I figured with the stakes and mallet I can do some damage to those buggers and then I can use the broom if I need to clean up any of the mess. Too bad I haven't found one zombie since I bought this thing. I am planning on heading to Alexandra VA soon maybe I will find them there",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories
30950,B006OW5H2O,1.0,Coleman CPX 6 Double Edge LED Flashlight Lantern,"Coleman, Double Edge Flashlight & Lantern Combo, High Performance Flashlight & Lantern All In One, It Works Multiple Ways: As A Soft Glow From The Base, As A 200 Lumen Lantern, A Brighter 300 Lumen Lantern Or As A Rechargeable Flashlight That Stores Inside The Lantern's Core, Flashlight: 314 FT Beam Distance & 1.5 Hours Max Runtime, Lantern: Up To 100 Hours Of Runtime On Soft Glow Setting & Up To 20 Hours Of Runtime On High Setting, Operates On Either 4 ""D"" Batteries Or Using The CPX 6 Rechargeable Power Cartridge TV #130-279, Not Included, Both Sold Separately.","IN SHORT: they fail in a few years and present a possible fire hazard.

I purchased this CPX6 lantern and the Coleman CPX4D they both take the same CP6 battery pack. Initially these lanterns worked great. The CPX 6 has good light output for around the campfire and the detachable flashlight is handy. The CPX4D is simpler but has a variable light output knob, which is handy when you just need low light conditions and extend the battery life by four fold. Unfortunately about a year in one of the CPX 6 battery packs failed completely. I purchased another and with in the next year another failed. I purchased another battery pack and it failed in a matter of months. They failed in an hazardous manner too, more on that in a bit. Around the same time the both lanterns failed as well first the CPX4D and then the CPX6. I purchased the adapter battery pack that allows you to use 4 standard D cell  alkaline batteries because I thought the lanterns might be fine and possibly it was just the rechargeable batteries causing the problem . To my avail they still won't work with the 4 D adapter pack. So I have lots of money into lanterns and nothing to show for it.

SAFETY ISSUE!!!- the rechargeable battery packs fail during charging and no I did not leave them charging overnight. See the pictures where heat has deformed the plastic casing. I could smell them when they failed, I even measured the one battery pack at 294F! I am throwing these fire hazard lanterns and battery packs away.",Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns
9119,B000JLFBJU,3.0,Coleman Liquid Fuel Lantern Hard-Shell Carry Case,"Protect your lantern with the Coleman Liquid Fuel Lantern Hard Shell Carry Case so it'll be ready to go the next time you head outdoors. This tough case helps protect against dents, scratches and broken globes. The base has room for extra mantles and miscellaneous other items. The case latch locks securely and is positioned at the bottom for easy loading and unloading. Simply let your lantern cool, place it on the base with the lid on top, lock it, and you're ready to head on to your next adventure.",Disappointed as it is too small for nortstars!!,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,,
16665,B002W06T8I,1.0,"Coleman 100% DEET Insect Repellent, 100 Max Tick and Mosquito Repellent Pump",,Stains clothes beeare,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Personal Care,Insect Repellent
28,B00005JD40,2.0,Coleman Rechargeable QuickPump Unit,"Bring your Coleman Rechargeable QuickPump Unit on your trip and inflate your air mattress at lightning speedwell, almost. More like two minutes. This handy pump inflates products that feature Coleman's Double Lock Valves, Boston valves, and, with adapters (included), pinch valves. Use the re-charger to re-juice the QuickPump whenever you're near an outlet.<br /><br /><b>Product Features</b><ul style=""list-style-type: disc; margin-left: 25px;""><li>Material:</li><li>Weight:</li><li>Recommended Use: Car camping, travel, inflating air mattresses</li><li>Manufacturer Warranty:</li><li>Country of Origin: China</li></ul>","Doesn't fill up an intex excursion 5 very well, you'll have to hand pump for a while after.

Obnoxiously loud, heavy for a air pump, gets very hot, and just doesn't seem to have much air pressure.  It works good for inflating the small rafts and seats/cushions for my intex excursion 5, but that's about it.  I bought it for convenience and it turned out to be a pain.

****UPDATE 6/20/15****
After using it about 6-7 times it will no longer power on.
This thing is a total piece of crap, and I can't even return it.  0 Stars if it was possible.
Thanks a lot Coleman.  <Insert sarcasm>

****UPDATE 6/24/15****
I took the pump apart, ripped out the battery, diagnosed it on my smart charger -- which told me that the battery was dead and will not hold a charge.  I ordered a ExpertPower EXP645 6V 4.5 Amp Rechargeable Battery for $11 and installed it -- it now works better than it ever has.  I am leaving 2 stars as I shouldn't have to replace the battery right after purchasing it, they are shipping these units out with dead/near-dead batteries.  Anyway, just thought I would let everyone know, in case you are having the same problem, it's the battery.",Sports & Outdoors,Sports & Fitness,Accessories,Inflation Devices & Accessories,
809,B0000CG813,3.0,Coleman Expandable Water Carrier (2.5-Gallon),Coleman 2000016360 water carrier expandable 2.5Gal. Camping cooking supplies cookware. Made of the highest quality materials. Camping cooking supplies cookware,Not sure what I was expecting but it seems to be very flimsy but again it is suppose to be collapsable.  I tossed the packaging before reading it and am not sure if I am suppose to poke a hole in it so it can breath and let the water out.  Comes in handy around the camp though and was glad I had it for camping this summer!,Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers
