review_id,section,start,end,type,annotator_a,annotator_b,chosen,rule,which
15,desc,122,144,label_conflict,included_items,ease_of_use,ease_of_use,prefer_more_frequent,
15,desc,202,220,label_conflict,material,compatibility,material,prefer_more_frequent,
15,desc,247,266,label_conflict,compatibility,included_items,compatibility,prefer_more_frequent,
15,desc,290,358,label_conflict,weight,material,material,prefer_more_frequent,
15,desc,451,460,span_only_one_annotator,,,weight,union_keep,b_only
15,review,0,35,label_conflict,customer_service,durability,durability,prefer_more_frequent,
21,desc,290,358,span_only_one_annotator,,,ease_of_use,union_keep,b_only
21,review,129,157,span_only_one_annotator,,,build_quality,union_keep,a_only
23,desc,122,144,label_conflict,performance,ease_of_use,ease_of_use,prefer_non_generic,
23,desc,290,358,label_conflict,weight,design,weight,prefer_non_generic,
23,desc,469,476,span_only_one_annotator,,,material,union_keep,a_only
23,desc,485,547,span_only_one_annotator,,,ease_of_use,union_keep,b_only
23,review,37,52,label_conflict,build_quality,ease_of_use,ease_of_use,prefer_more_frequent,
23,review,53,81,label_conflict,build_quality,design,build_quality,prefer_non_generic,
42,title,8,20,span_only_one_annotator,,,design,union_keep,b_only
42,desc,290,358,label_conflict,material,design,material,prefer_non_generic,
42,desc,451,460,span_only_one_annotator,,,weight,union_keep,a_only
42,review,17,30,label_conflict,performance,durability,durability,prefer_non_generic,
42,review,128,172,label_conflict,price,performance,price,prefer_non_generic,
42,review,207,225,label_conflict,performance,price,price,prefer_non_generic,
42,review,226,249,span_only_one_annotator,,,performance,union_keep,b_only
99,desc,1142,1196,label_conflict,durability,performance,durability,prefer_non_generic,
99,desc,1274,1304,label_conflict,performance,durability,durability,prefer_non_generic,
99,desc,1315,1375,span_only_one_annotator,,,performance,union_keep,b_only
112,review,0,80,label_conflict,build_quality,material,material,prefer_more_frequent,
112,review,82,124,label_conflict,build_quality,durability,durability,prefer_more_frequent,
112,review,129,199,span_only_one_annotator,,,durability,union_keep,a_only
194,desc,595,657,label_conflict,build_quality,performance,build_quality,prefer_non_generic,
194,desc,1142,1196,label_conflict,durability,build_quality,durability,prefer_more_frequent,
194,desc,1198,1253,label_conflict,performance,durability,durability,prefer_non_generic,
194,desc,1255,1304,span_only_one_annotator,,,performance,union_keep,b_only
242,review,950,997,label_conflict,build_quality,included_items,build_quality,prefer_more_frequent,
253,title,0,29,span_only_one_annotator,,,design,union_keep,a_only
331,review,35,44,label_conflict,build_quality,ease_of_use,ease_of_use,prefer_more_frequent,
331,review,46,95,label_conflict,ease_of_use,design,ease_of_use,prefer_non_generic,
331,review,146,165,label_conflict,build_quality,design,build_quality,prefer_non_generic,
331,review,193,208,label_conflict,ease_of_use,build_quality,ease_of_use,prefer_more_frequent,
331,review,335,348,span_only_one_annotator,,,build_quality,union_keep,a_only
478,desc,1142,1196,span_only_one_annotator,,,performance,union_keep,b_only
478,desc,1306,1375,span_only_one_annotator,,,performance,union_keep,b_only
478,review,0,34,span_only_one_annotator,,,ease_of_use,union_keep,b_only
530,desc,1315,1330,span_only_one_annotator,,,portability,union_keep,b_only
600,desc,172,193,label_conflict,performance,size,size,prefer_non_generic,
600,desc,266,277,span_only_one_annotator,,,performance,union_keep,b_only
600,desc,301,321,span_only_one_annotator,,,compatibility,union_keep,b_only
600,desc,359,399,span_only_one_annotator,,,ease_of_use,union_keep,b_only
600,review,104,116,label_conflict,build_quality,compatibility,build_quality,prefer_more_frequent,
600,review,168,200,label_conflict,ease_of_use,compatibility,ease_of_use,prefer_more_frequent,
600,review,205,242,label_conflict,performance,ease_of_use,ease_of_use,prefer_non_generic,
600,review,271,323,span_only_one_annotator,,,performance,union_keep,a_only
600,review,355,390,span_only_one_annotator,,,performance,union_keep,a_only
682,title,0,31,span_only_one_annotator,,,size,union_keep,a_only
682,review,26,39,label_conflict,build_quality,durability,durability,prefer_more_frequent,
682,review,56,72,label_conflict,durability,waterproofing,durability,prefer_more_frequent,
682,review,77,99,span_only_one_annotator,,,waterproofing,union_keep,a_only
694,review,95,130,label_conflict,durability,performance,durability,prefer_non_generic,
694,review,135,219,span_only_one_annotator,,,durability,union_keep,b_only
793,desc,87,125,label_conflict,build_quality,material,material,prefer_more_frequent,
1083,desc,154,169,label_conflict,ease_of_use,design,ease_of_use,prefer_non_generic,
1268,desc,223,258,label_conflict,weather_resistance,design,weather_resistance,prefer_non_generic,
1268,desc,264,300,label_conflict,included_items,weather_resistance,included_items,prefer_more_frequent,
1268,desc,335,375,label_conflict,size,included_items,size,prefer_more_frequent,
1268,desc,382,398,label_conflict,weight,size,size,prefer_more_frequent,
1268,desc,462,502,span_only_one_annotator,,,weight,union_keep,b_only
1268,review,0,10,span_only_one_annotator,,,insulation,union_keep,b_only
1383,review,95,109,label_conflict,build_quality,durability,durability,prefer_more_frequent,
1388,review,132,189,label_conflict,build_quality,ease_of_use,ease_of_use,prefer_more_frequent,
1564,review,168,212,label_conflict,performance,durability,durability,prefer_non_generic,
1564,review,244,282,label_conflict,price,performance,price,prefer_non_generic,
1564,review,332,418,label_conflict,build_quality,price,build_quality,prefer_more_frequent,
1641,review,0,24,span_only_one_annotator,,,design,union_keep,b_only
1749,title,15,21,span_only_one_annotator,,,material,union_keep,a_only
1749,review,142,175,label_conflict,build_quality,design,build_quality,prefer_non_generic,
1759,review,0,2,label_conflict,build_quality,performance,build_quality,prefer_non_generic,
1802,review,11,37,label_conflict,build_quality,design,build_quality,prefer_non_generic,
1802,review,54,70,span_only_one_annotator,,,build_quality,union_keep,a_only
1917,desc,64,152,span_only_one_annotator,,,build_quality,union_keep,a_only
1917,desc,67,91,span_only_one_annotator,,,build_quality,union_keep,b_only
1917,desc,67,91,span_only_one_annotator,,,ease_of_use,union_keep,b_only
1917,desc,153,211,span_only_one_annotator,,,performance,union_keep,a_only
1917,desc,212,251,label_conflict,build_quality,ease_of_use,ease_of_use,prefer_more_frequent,
